datetime,wind speed2019,wind speed2018,wind speed2017,wind speed2016,wind speed2015,wind speed2014,wind speed2013,wind speed2012,wind speed2011,wind speed2010,wind speed2009,wind speed2008,wind speed2007,wind speed2006,wind speed2005,wind speed2004;;;;;;;
05/01/2019 13:00,3.727,15.38,7.727,15.84,9.82,10.914,8.17,25.44,13.48;10.41;10.47;13.14;12.34;12.19;13.39;7.07
05/01/2019 14:00,4.938,13.99,7.453,16.47,8.14,11.33,7.652,25.0,13.69;10.23;9.68;12.375;13.97;13.11;14.33;7.52
05/01/2019 15:00,5.28,13.83,7.46,16.5,7.836,11.38,7.297,24.5,13.7;10.16;9.625;12.37;13.86;13.234;14.29;7.758
05/01/2019 16:00,6.375,13.06,7.094,16.58,7.03,11.875,6.965,23.84,14.14;9.875;9.18;11.766;13.6;13.73;14.125;9.15
05/01/2019 17:00,6.08,12.945,6.93,16.64,7.117,12.03,6.7,24.34,14.15;9.836;8.93;11.46;13.75;14.0;14.26;9.43
05/01/2019 18:00,6.27,12.414,6.14,16.92,7.94,11.92,5.715,23.25,13.47;9.35;7.78;11.26;14.5;14.484;14.445;10.266
05/01/2019 19:00,6.594,12.42,5.984,16.89,8.11,12.13,5.938,22.67,13.516;8.97;7.383;11.125;14.68;14.414;14.69;10.516
05/01/2019 20:00,7.855,12.28,4.96,16.44,8.41,13.39,6.82,22.34,13.62;8.52;5.836;10.77;15.25;13.92;15.44;11.445
05/01/2019 21:00,7.42,12.16,4.79,16.23,8.414,13.5,7.93,22.19,13.95;8.39;5.418;11.01;14.71;13.625;15.56;11.66
05/01/2019 22:00,5.254,12.41,4.883,15.234,8.766,12.77,8.94,21.78,13.1;8.47;3.293;11.13;11.71;12.55;15.5;11.99
05/01/2019 23:00,5.32,12.484,4.71,15.27,8.805,12.875,8.15,21.72,13.29;9.016;2.805;10.625;11.234;12.33;16.11;11.98
06/01/2019 00:00,5.617,12.375,4.375,15.28,8.625,14.28,8.05,20.47,13.31;9.484;1.039;10.055;9.73;12.03;16.38;12.19
06/01/2019 01:00,5.93,12.266,4.344,15.31,8.516,14.41,8.28,19.94,13.18;8.93;0.8604;9.914;9.57;11.97;15.84;12.35
06/01/2019 02:00,7.0,11.36,4.047,15.28,7.92,16.05,10.67,20.11,13.02;7.62;1.055;9.766;8.766;11.46;15.34;12.95
06/01/2019 03:00,6.945,11.16,4.164,15.18,7.97,15.984,10.68,19.69,13.44;7.383;1.389;9.586;8.69;11.56;15.69;12.984
06/01/2019 04:00,6.008,10.445,4.496,14.586,8.16,16.16,10.305,18.3,14.02;7.227;2.594;8.9;8.66;11.79;15.93;13.03
06/01/2019 05:00,5.88,10.36,4.633,14.5,8.23,16.48,10.24,17.22,13.77;7.164;2.984;8.89;8.484;11.69;15.72;12.94
06/01/2019 06:00,5.945,9.984,5.516,14.45,8.59,17.83,10.23,15.32,12.766;6.734;4.297;9.22;8.586;11.445;15.586;12.484
06/01/2019 07:00,6.047,9.98,5.72,14.484,8.69,18.14,10.81,14.31,12.17;6.438;4.59;9.33;8.84;11.33;15.29;12.42
06/01/2019 08:00,6.91,9.79,6.28,14.48,9.18,19.14,12.11,12.94,11.875;6.645;5.605;9.516;9.74;11.08;14.37;12.48
06/01/2019 09:00,7.227,9.734,6.406,14.46,9.25,18.92,12.44,12.47,11.6;7.273;5.797;9.375;9.93;11.15;14.34;12.5
06/01/2019 10:00,6.19,9.555,8.39,14.164,9.195,19.27,13.22,11.31,11.05;6.883;6.97;9.7;10.484;10.695;13.35;12.92
06/01/2019 11:00,5.797,9.64,8.65,14.0,9.14,18.8,13.42,12.39,10.41;6.395;7.094;9.89;10.73;10.586;13.625;13.12
06/01/2019 12:00,4.605,9.3,9.37,13.19,9.24,17.48,12.77,14.17,9.016;5.3;7.414;10.625;11.02;10.234;13.75;14.44
06/01/2019 13:00,4.71,9.05,9.38,13.14,9.43,17.2,12.266,14.234,8.664;4.875;7.582;10.78;11.08;10.37;13.82;14.59
06/01/2019 14:00,5.223,8.47,9.48,13.016,10.63,16.14,11.96,13.11,8.15;4.633;8.56;11.28;11.09;11.016;14.82;14.47
06/01/2019 15:00,5.12,8.64,9.51,13.1,10.64,16.22,11.54,12.555,7.445;4.996;8.86;11.54;10.73;11.19;14.766;14.516
06/01/2019 16:00,5.395,9.31,10.1,13.29,10.6,16.22,11.14,12.375,5.938;6.613;10.09;13.13;10.055;11.58;15.39;13.92
06/01/2019 17:00,5.79,9.42,10.29,13.29,10.69,16.3,10.77,12.15,5.39;7.668;10.37;12.98;10.09;11.555;15.97;13.39
06/01/2019 18:00,8.12,10.06,10.92,13.22,10.414,16.31,10.664,11.69,4.96;8.516;11.4;11.625;9.97;11.28;17.75;12.58
06/01/2019 19:00,8.48,9.875,10.984,13.15,10.336,16.34,9.87,11.84,4.836;8.48;11.69;11.516;9.875;11.2;18.08;12.664
06/01/2019 20:00,9.8,9.03,11.586,13.14,10.2,16.75,7.645,12.08,4.273;8.77;13.32;10.95;9.39;10.92;19.42;12.79
06/01/2019 21:00,9.875,8.914,11.74,13.23,10.5,16.11,6.754,12.555,4.258;9.016;13.695;10.94;9.25;10.93;19.39;12.7
06/01/2019 22:00,10.31,10.46,11.984,13.25,10.91,14.24,6.17,14.7,5.55;8.375;14.695;10.67;7.777;10.88;19.12;12.53
06/01/2019 23:00,10.18,10.39,12.15,13.34,11.0,14.25,5.664,14.73,6.86;8.805;14.94;10.54;7.62;10.92;19.3;12.67
07/01/2019 00:00,9.984,9.9,12.92,13.75,12.06,16.06,5.56,13.61,8.734;9.89;16.16;10.61;7.29;10.72;20.36;13.34
